"ARRAY TYPE,SORT TYPE,ARRAY SIZE,TIME"
"int,qsort,1000,0.000000"
"int,bubble sort,1000,168.000000"
"int,qsort,5000,1.000000"
"int,bubble sort,5000,4443.000000"
"int,qsort,10000,2.000000"
"int,bubble sort,10000,17276.000000"
"int,qsort,50000,8.000000"
"int,bubble sort,50000,409278.000000"
"long,qsort,1000,0.000000"
"long,bubble sort,1000,168.000000"
"long,qsort,5000,1.000000"
"long,bubble sort,5000,4366.000000"
"long,qsort,10000,2.000000"
"long,bubble sort,10000,16885.000000"
"long,qsort,50000,16.000000"
"long,bubble sort,50000,425274.000000"
"float,qsort,1000,0.000000"
"float,bubble sort,1000,65.000000"
"float,qsort,5000,1.000000"
"float,bubble sort,5000,1629.000000"
"float,qsort,10000,1.000000"
"float,bubble sort,10000,6579.000000"
"float,qsort,50000,15.000000"
"float,bubble sort,50000,186803.000000"
"double,qsort,1000,0.000000"
"double,bubble sort,1000,80.000000"
"double,qsort,5000,1.000000"
"double,bubble sort,5000,1941.000000"
"double,qsort,10000,2.000000"
"double,bubble sort,10000,7865.000000"
"double,qsort,50000,15.000000"
"double,bubble sort,50000,184650.000000"
"long double,qsort,1000,0.000000"
"long double,bubble sort,1000,78.000000"
"long double,qsort,5000,1.000000"
"long double,bubble sort,5000,1977.000000"
"long double,qsort,10000,9.000000"
"long double,bubble sort,10000,7927.000000"
"long double,qsort,50000,15.000000"
"long double,bubble sort,50000,198050.000000"
